,entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id
0,Car 0,arrival_departure,arrival,0.0,,,,
1,Car 0,queue,carwash_queue_wait_begins,0.0,,,,
2,Car 1,arrival_departure,arrival,0.0,,,,
3,Car 1,queue,carwash_queue_wait_begins,0.0,,,,
4,Car 2,arrival_departure,arrival,0.0,,,,
5,Car 2,queue,carwash_queue_wait_begins,0.0,,,,
6,Car 3,arrival_departure,arrival,0.0,,,,
7,Car 3,queue,carwash_queue_wait_begins,0.0,,,,
8,Car 0,resource_use,carwashing_begins,0.0,,,,1.0
9,Car 1,resource_use,carwashing_begins,0.0,,,,2.0
10,Car 0,resource_use_end,carwashing_ends,5.0,,,,1.0
11,Car 0,arrival_departure,depart,5.0,,,,
12,Car 1,resource_use_end,carwashing_ends,5.0,,,,2.0
13,Car 1,arrival_departure,depart,5.0,,,,
14,Car 2,resource_use,carwashing_begins,5.0,,,,1.0
15,Car 3,resource_use,carwashing_begins,5.0,,,,2.0
16,Car 4,arrival_departure,arrival,6.0,,,,
17,Car 4,queue,carwash_queue_wait_begins,6.0,,,,
18,Car 2,resource_use_end,carwashing_ends,10.0,,,,1.0
19,Car 2,arrival_departure,depart,10.0,,,,
20,Car 3,resource_use_end,carwashing_ends,10.0,,,,2.0
21,Car 3,arrival_departure,depart,10.0,,,,
22,Car 4,resource_use,carwashing_begins,10.0,,,,1.0
23,Car 5,arrival_departure,arrival,11.0,,,,
24,Car 5,queue,carwash_queue_wait_begins,11.0,,,,
25,Car 5,resource_use,carwashing_begins,11.0,,,,2.0
26,Car 4,resource_use_end,carwashing_ends,15.0,,,,1.0
27,Car 4,arrival_departure,depart,15.0,,,,
28,Car 5,resource_use_end,carwashing_ends,16.0,,,,2.0
29,Car 5,arrival_departure,depart,16.0,,,,
30,Car 6,arrival_departure,arrival,19.0,,,,
31,Car 6,queue,carwash_queue_wait_begins,19.0,,,,
32,Car 6,resource_use,carwashing_begins,19.0,,,,1.0
33,Car 6,resource_use_end,carwashing_ends,24.0,,,,1.0
34,Car 6,arrival_departure,depart,24.0,,,,
35,Car 7,arrival_departure,arrival,27.0,,,,
36,Car 7,queue,carwash_queue_wait_begins,27.0,,,,
37,Car 7,resource_use,carwashing_begins,27.0,,,,2.0
38,Car 7,resource_use_end,carwashing_ends,32.0,,,,2.0
39,Car 7,arrival_departure,depart,32.0,,,,
40,Car 8,arrival_departure,arrival,34.0,,,,
41,Car 8,queue,carwash_queue_wait_begins,34.0,,,,
