entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id
Car 0,arrival_departure,arrival,87.0,,,,
Car 0,queue,pump_queue_wait_begins,87.0,,,,
Car 0,resource_use,pumping_begins,87.0,,,,1.0
Car 0,resource_use_end,pumping_ends,105.5,,,,1.0
Car 0,arrival_departure,depart,105.5,,,,
Car 1,arrival_departure,arrival,129.0,,,,
Car 1,queue,pump_queue_wait_begins,129.0,,,,
Car 1,resource_use,pumping_begins,129.0,,,,2.0
Car 1,resource_use_end,pumping_ends,148.0,,,,2.0
Car 1,arrival_departure,depart,148.0,,,,
Car 2,arrival_departure,arrival,284.0,,,,
Car 2,queue,pump_queue_wait_begins,284.0,,,,
Car 2,resource_use,pumping_begins,284.0,,,,1.0
Car 2,resource_use_end,pumping_ends,305.0,,,,1.0
Car 2,arrival_departure,depart,305.0,,,,
Car 3,arrival_departure,arrival,385.0,,,,
Car 3,queue,pump_queue_wait_begins,385.0,,,,
Car 3,resource_use,pumping_begins,385.0,,,,2.0
Car 3,resource_use_end,pumping_ends,398.5,,,,2.0
Car 3,arrival_departure,depart,398.5,,,,
Car 4,arrival_departure,arrival,459.0,,,,
Car 4,queue,pump_queue_wait_begins,459.0,,,,
Car 4,resource_use,pumping_begins,459.0,,,,1.0
Call 0,arrival_departure,arrival,460.0,,,,
Call 0,queue,calling_truck,460.0,,,,
Car 4,resource_use_end,pumping_ends,481.0,,,,1.0
Car 4,arrival_departure,depart,481.0,,,,
Car 5,arrival_departure,arrival,705.0,,,,
Car 5,queue,pump_queue_wait_begins,705.0,,,,
Car 5,resource_use,pumping_begins,705.0,,,,2.0
Car 6,arrival_departure,arrival,750.0,,,,
Car 6,queue,pump_queue_wait_begins,750.0,,,,
Car 6,resource_use,pumping_begins,750.0,,,,1.0
Call 0,arrival_departure,depart,760.0,,,,
Truck 0,arrival_departure,arrival,760.0,,,,
Truck 0,queue,refueling,760.0,,,,
Car 7,arrival_departure,arrival,891.0,,,,
Car 7,queue,pump_queue_wait_begins,891.0,,,,
Car 8,arrival_departure,arrival,1179.0,,,,
Car 8,queue,pump_queue_wait_begins,1179.0,,,,
Car 9,arrival_departure,arrival,1222.0,,,,
Car 9,queue,pump_queue_wait_begins,1222.0,,,,
Car 10,arrival_departure,arrival,1353.0,,,,
Car 10,queue,pump_queue_wait_begins,1353.0,,,,
Car 11,arrival_departure,arrival,1597.0,,,,
Car 11,queue,pump_queue_wait_begins,1597.0,,,,
Truck 0,arrival_departure,depart,1760.0,,,,
Car 6,resource_use_end,pumping_ends,1779.0,,,,1.0
Car 6,arrival_departure,depart,1779.0,,,,
Car 7,resource_use,pumping_begins,1779.0,,,,1.0
Car 5,resource_use_end,pumping_ends,1781.5,,,,2.0
Car 5,arrival_departure,depart,1781.5,,,,
Car 8,resource_use,pumping_begins,1781.5,,,,2.0
Car 7,resource_use_end,pumping_ends,1792.0,,,,1.0
Car 7,arrival_departure,depart,1792.0,,,,
Car 9,resource_use,pumping_begins,1792.0,,,,1.0
Car 8,resource_use_end,pumping_ends,1795.5,,,,2.0
Car 8,arrival_departure,depart,1795.5,,,,
Car 10,resource_use,pumping_begins,1795.5,,,,2.0
Call 1,arrival_departure,arrival,1800.0,,,,
Call 1,queue,calling_truck,1800.0,,,,
Car 9,resource_use_end,pumping_ends,1804.5,,,,1.0
Car 9,arrival_departure,depart,1804.5,,,,
Car 11,resource_use,pumping_begins,1804.5,,,,1.0
Car 10,resource_use_end,pumping_ends,1814.5,,,,2.0
Car 10,arrival_departure,depart,1814.5,,,,
Car 12,arrival_departure,arrival,1856.0,,,,
Car 12,queue,pump_queue_wait_begins,1856.0,,,,
Car 12,resource_use,pumping_begins,1856.0,,,,2.0
Car 13,arrival_departure,arrival,2028.0,,,,
Car 13,queue,pump_queue_wait_begins,2028.0,,,,
Call 1,arrival_departure,depart,2100.0,,,,
Truck 1,arrival_departure,arrival,2100.0,,,,
Truck 1,queue,refueling,2100.0,,,,
Car 14,arrival_departure,arrival,2139.0,,,,
Car 14,queue,pump_queue_wait_begins,2139.0,,,,
Car 15,arrival_departure,arrival,2343.0,,,,
Car 15,queue,pump_queue_wait_begins,2343.0,,,,
Car 16,arrival_departure,arrival,2452.0,,,,
Car 16,queue,pump_queue_wait_begins,2452.0,,,,
Car 17,arrival_departure,arrival,2654.0,,,,
Car 17,queue,pump_queue_wait_begins,2654.0,,,,
Car 18,arrival_departure,arrival,2731.0,,,,
Car 18,queue,pump_queue_wait_begins,2731.0,,,,
Car 19,arrival_departure,arrival,2810.0,,,,
Car 19,queue,pump_queue_wait_begins,2810.0,,,,
Car 20,arrival_departure,arrival,3016.0,,,,
Car 20,queue,pump_queue_wait_begins,3016.0,,,,
Truck 1,arrival_departure,depart,3100.0,,,,
Car 11,resource_use_end,pumping_ends,3113.5,,,,1.0
Car 11,arrival_departure,depart,3113.5,,,,
Car 13,resource_use,pumping_begins,3113.5,,,,1.0
Car 12,resource_use_end,pumping_ends,3122.5,,,,2.0
Car 12,arrival_departure,depart,3122.5,,,,
Car 14,resource_use,pumping_begins,3122.5,,,,2.0
Car 13,resource_use_end,pumping_ends,3129.5,,,,1.0
Car 13,arrival_departure,depart,3129.5,,,,
Car 15,resource_use,pumping_begins,3129.5,,,,1.0
Call 2,arrival_departure,arrival,3130.0,,,,
Call 2,queue,calling_truck,3130.0,,,,
Car 14,resource_use_end,pumping_ends,3141.0,,,,2.0
Car 14,arrival_departure,depart,3141.0,,,,
Car 16,resource_use,pumping_begins,3141.0,,,,2.0
Car 15,resource_use_end,pumping_ends,3149.0,,,,1.0
Car 15,arrival_departure,depart,3149.0,,,,
Car 17,resource_use,pumping_begins,3149.0,,,,1.0
Car 21,arrival_departure,arrival,3181.0,,,,
Car 21,queue,pump_queue_wait_begins,3181.0,,,,
Call 2,arrival_departure,depart,3430.0,,,,
Truck 2,arrival_departure,arrival,3430.0,,,,
Truck 2,queue,refueling,3430.0,,,,
Car 22,arrival_departure,arrival,3446.0,,,,
Car 22,queue,pump_queue_wait_begins,3446.0,,,,
Car 23,arrival_departure,arrival,3539.0,,,,
Car 23,queue,pump_queue_wait_begins,3539.0,,,,
Car 24,arrival_departure,arrival,3609.0,,,,
Car 24,queue,pump_queue_wait_begins,3609.0,,,,
Car 25,arrival_departure,arrival,3789.0,,,,
Car 25,queue,pump_queue_wait_begins,3789.0,,,,
Car 26,arrival_departure,arrival,4004.0,,,,
Car 26,queue,pump_queue_wait_begins,4004.0,,,,
Car 27,arrival_departure,arrival,4132.0,,,,
Car 27,queue,pump_queue_wait_begins,4132.0,,,,
Car 28,arrival_departure,arrival,4185.0,,,,
Car 28,queue,pump_queue_wait_begins,4185.0,,,,
Car 29,arrival_departure,arrival,4363.0,,,,
Car 29,queue,pump_queue_wait_begins,4363.0,,,,
Truck 2,arrival_departure,depart,4430.0,,,,
Car 17,resource_use_end,pumping_ends,4446.5,,,,1.0
Car 17,arrival_departure,depart,4446.5,,,,
Car 18,resource_use,pumping_begins,4446.5,,,,1.0
Car 16,resource_use_end,pumping_ends,4451.0,,,,2.0
Car 16,arrival_departure,depart,4451.0,,,,
Car 19,resource_use,pumping_begins,4451.0,,,,2.0
Car 18,resource_use_end,pumping_ends,4463.5,,,,1.0
Car 18,arrival_departure,depart,4463.5,,,,
Car 20,resource_use,pumping_begins,4463.5,,,,1.0
Car 19,resource_use_end,pumping_ends,4464.0,,,,2.0
Car 19,arrival_departure,depart,4464.0,,,,
Car 21,resource_use,pumping_begins,4464.0,,,,2.0
Call 3,arrival_departure,arrival,4470.0,,,,
Call 3,queue,calling_truck,4470.0,,,,
Car 20,resource_use_end,pumping_ends,4485.5,,,,1.0
Car 20,arrival_departure,depart,4485.5,,,,
Car 22,resource_use,pumping_begins,4485.5,,,,1.0
Car 30,arrival_departure,arrival,4512.0,,,,
Car 30,queue,pump_queue_wait_begins,4512.0,,,,
Car 31,arrival_departure,arrival,4736.0,,,,
Car 31,queue,pump_queue_wait_begins,4736.0,,,,
Call 3,arrival_departure,depart,4770.0,,,,
Truck 3,arrival_departure,arrival,4770.0,,,,
Truck 3,queue,refueling,4770.0,,,,
Car 32,arrival_departure,arrival,4998.0,,,,
Car 32,queue,pump_queue_wait_begins,4998.0,,,,
Car 33,arrival_departure,arrival,5214.0,,,,
Car 33,queue,pump_queue_wait_begins,5214.0,,,,
