entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,x,y,location,package_count,task_duration_mins
RoboPack-1,arrival_departure,arrival,0.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,0.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,0.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,2.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,3.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,4.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,5.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,6.0,,,,,200.0,300.0,,,
RoboPack-1,position_poll,position,7.0,,,,,200.0,400.0,,,
RoboPack-1,position_poll,position,8.0,,,,,200.0,500.0,,,
RoboPack-1,action,picked_up_5_packages,8.0,,,,,200.0,500.0,pickup_2,,
RoboPack-1,position_poll,position,9.0,,,,,200.0,500.0,,,
RoboPack-1,position_poll,position,10.0,,,,,300.0,500.0,,,
RoboPack-1,position_poll,position,11.0,,,,,300.0,400.0,,,
RoboPack-1,queue,pickup_2,11.0,,,,,300.0,300.0,,5.0,
RoboPack-1,position_poll,position,12.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,13.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,14.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,15.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,16.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,17.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,18.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,19.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,20.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,21.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,22.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,23.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,24.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,25.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,26.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,27.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,28.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,29.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,30.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,31.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,32.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,33.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,34.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,35.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,36.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,36.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,37.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,38.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,39.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,40.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,41.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,42.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,43.0,,,,,400.0,300.0,,,
RoboPack-1,position_poll,position,44.0,,,,,500.0,300.0,,,
RoboPack-1,position_poll,position,45.0,,,,,600.0,300.0,,,
RoboPack-1,position_poll,position,46.0,,,,,600.0,200.0,,,
RoboPack-1,position_poll,position,47.0,,,,,600.0,100.0,,,
RoboPack-1,action,picked_up_2_packages,47.0,,,,,600.0,100.0,pickup_8,,
RoboPack-1,position_poll,position,48.0,,,,,600.0,100.0,,,
RoboPack-1,position_poll,position,49.0,,,,,500.0,100.0,,,
RoboPack-1,position_poll,position,50.0,,,,,400.0,100.0,,,
RoboPack-1,position_poll,position,51.0,,,,,300.0,100.0,,,
RoboPack-1,position_poll,position,52.0,,,,,300.0,200.0,,,
RoboPack-1,queue,pickup_8,52.0,,,,,300.0,300.0,,2.0,
RoboPack-1,position_poll,position,53.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,54.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,55.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,56.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,57.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,58.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,59.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,60.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,61.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,62.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,62.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,63.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,64.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,65.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,66.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,67.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,68.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,69.0,,,,,400.0,300.0,,,
RoboPack-1,position_poll,position,70.0,,,,,400.0,200.0,,,
RoboPack-1,position_poll,position,71.0,,,,,400.0,100.0,,,
RoboPack-1,action,picked_up_2_packages,71.0,,,,,400.0,100.0,pickup_7,,
RoboPack-1,position_poll,position,72.0,,,,,400.0,100.0,,,
RoboPack-1,position_poll,position,73.0,,,,,300.0,100.0,,,
RoboPack-1,position_poll,position,74.0,,,,,300.0,200.0,,,
RoboPack-1,queue,pickup_7,74.0,,,,,300.0,300.0,,2.0,
RoboPack-1,position_poll,position,75.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,76.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,77.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,78.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,79.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,80.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,81.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,82.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,83.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,84.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,84.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,85.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,86.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,87.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,88.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,89.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,90.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,91.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,92.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,93.0,,,,,400.0,300.0,,,
RoboPack-1,position_poll,position,94.0,,,,,500.0,300.0,,,
RoboPack-1,position_poll,position,95.0,,,,,600.0,300.0,,,
RoboPack-1,position_poll,position,96.0,,,,,600.0,200.0,,,
RoboPack-1,position_poll,position,97.0,,,,,600.0,100.0,,,
RoboPack-1,action,picked_up_4_packages,97.0,,,,,600.0,100.0,pickup_8,,
RoboPack-1,position_poll,position,98.0,,,,,600.0,100.0,,,
RoboPack-1,position_poll,position,99.0,,,,,500.0,100.0,,,
RoboPack-1,position_poll,position,100.0,,,,,400.0,100.0,,,
