entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,x,y,package_count,task_duration_mins
RoboPack-1,arrival_departure,arrival,0.0,,,,,270.0,270.0,,
RoboPack-1,queue,packing,0.0,,,,,270.0,270.0,,
RoboPack-2,arrival_departure,arrival,0.0,,,,,285.0,270.0,,
RoboPack-2,queue,packing,0.0,,,,,285.0,270.0,,
RoboPack-3,arrival_departure,arrival,0.0,,,,,300.0,270.0,,
RoboPack-3,queue,packing,0.0,,,,,300.0,270.0,,
RoboPack-4,arrival_departure,arrival,0.0,,,,,315.0,270.0,,
RoboPack-4,queue,packing,0.0,,,,,315.0,270.0,,
RoboPack-5,arrival_departure,arrival,0.0,,,,,270.0,300.0,,
RoboPack-5,queue,packing,0.0,,,,,270.0,300.0,,
RoboPack-6,arrival_departure,arrival,0.0,,,,,285.0,300.0,,
RoboPack-6,queue,packing,0.0,,,,,285.0,300.0,,
RoboPack-7,arrival_departure,arrival,0.0,,,,,300.0,300.0,,
RoboPack-7,queue,packing,0.0,,,,,300.0,300.0,,
RoboPack-8,arrival_departure,arrival,0.0,,,,,315.0,300.0,,
RoboPack-8,queue,packing,0.0,,,,,315.0,300.0,,
RoboPack-1,position_poll,position,0.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,0.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,0.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,0.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,0.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,0.0,,,,,285.0,300.0,,
RoboPack-7,position_poll,position,0.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,0.0,,,,,315.0,300.0,,
RoboPack-1,position_poll,position,1.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,1.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,1.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,1.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,1.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,1.0,,,,,285.0,300.0,,
