,patient,pathway,event_type,event,time,resource_id,run
0,1,1,arrival_departure,arrival,0.0,,1
1,1,1,queue,treatment_wait_begins,0.0,,1
2,1,1,resource_use,treatment_begins,0.0,1.0,1
3,2,2,arrival_departure,arrival,12.021043019829973,,1
4,2,2,queue,treatment_wait_begins,12.021043019829973,,1
5,2,2,resource_use,treatment_begins,12.021043019829973,2.0,1
6,3,2,arrival_departure,arrival,23.70199129895224,,1
7,3,2,queue,treatment_wait_begins,23.70199129895224,,1
8,3,2,resource_use,treatment_begins,23.70199129895224,3.0,1
9,4,2,arrival_departure,arrival,35.625796298323515,,1
10,4,2,queue,treatment_wait_begins,35.625796298323515,,1
11,4,2,resource_use,treatment_begins,35.625796298323515,4.0,1
12,5,2,arrival_departure,arrival,37.02476774758143,,1
13,5,2,queue,treatment_wait_begins,37.02476774758143,,1
14,6,2,arrival_departure,arrival,37.456954746073315,,1
15,6,2,queue,treatment_wait_begins,37.456954746073315,,1
16,1,1,resource_use_end,treatment_complete,41.22601356669928,1.0,1
17,1,1,arrival_departure,depart,41.22601356669928,,1
18,5,2,resource_use,treatment_begins,41.22601356669928,1.0,1
19,7,2,arrival_departure,arrival,44.72025732460407,,1
20,7,2,queue,treatment_wait_begins,44.72025732460407,,1
21,2,2,resource_use_end,treatment_complete,46.891253581909204,2.0,1
22,2,2,arrival_departure,depart,46.891253581909204,,1
23,6,2,resource_use,treatment_begins,46.891253581909204,2.0,1
24,8,2,arrival_departure,arrival,51.770060795891936,,1
25,8,2,queue,treatment_wait_begins,51.770060795891936,,1
26,3,2,resource_use_end,treatment_complete,67.28077406655834,3.0,1
27,3,2,arrival_departure,depart,67.28077406655834,,1
28,7,2,resource_use,treatment_begins,67.28077406655834,3.0,1
29,9,1,arrival_departure,arrival,67.39154057863942,,1
30,9,1,queue,treatment_wait_begins,67.39154057863942,,1
31,10,1,arrival_departure,arrival,67.78801156455697,,1
32,10,1,queue,treatment_wait_begins,67.78801156455697,,1
33,5,2,resource_use_end,treatment_complete,72.35665649200652,1.0,1
34,5,2,arrival_departure,depart,72.35665649200652,,1
35,9,1,resource_use,treatment_begins,72.35665649200652,1.0,1
36,11,2,arrival_departure,arrival,73.02081579727279,,1
37,11,2,queue,treatment_wait_begins,73.02081579727279,,1
38,12,2,arrival_departure,arrival,73.37299733126183,,1
39,12,2,queue,treatment_wait_begins,73.37299733126183,,1
40,13,2,arrival_departure,arrival,78.81811547138163,,1
41,13,2,queue,treatment_wait_begins,78.81811547138163,,1
42,4,2,resource_use_end,treatment_complete,80.24848909995538,4.0,1
43,4,2,arrival_departure,depart,80.24848909995538,,1
44,10,1,resource_use,treatment_begins,80.24848909995538,4.0,1
45,6,2,resource_use_end,treatment_complete,80.6414226555737,2.0,1
46,6,2,arrival_departure,depart,80.6414226555737,,1
47,8,2,resource_use,treatment_begins,80.6414226555737,2.0,1
48,14,1,arrival_departure,arrival,87.47475223580068,,1
49,14,1,queue,treatment_wait_begins,87.47475223580068,,1
50,15,2,arrival_departure,arrival,89.40922635875023,,1
51,15,2,queue,treatment_wait_begins,89.40922635875023,,1
52,16,2,arrival_departure,arrival,95.5671546720581,,1
53,16,2,queue,treatment_wait_begins,95.5671546720581,,1
54,17,2,arrival_departure,arrival,96.33602094118923,,1
55,17,2,queue,treatment_wait_begins,96.33602094118923,,1
56,18,2,arrival_departure,arrival,96.7939072781402,,1
57,18,2,queue,treatment_wait_begins,96.7939072781402,,1
58,19,2,arrival_departure,arrival,98.36980328880216,,1
59,19,2,queue,treatment_wait_begins,98.36980328880216,,1
60,20,1,arrival_departure,arrival,102.87579966565295,,1
61,20,1,queue,treatment_wait_begins,102.87579966565295,,1
62,21,1,arrival_departure,arrival,104.9407263143454,,1
63,21,1,queue,treatment_wait_begins,104.9407263143454,,1
64,7,2,resource_use_end,treatment_complete,107.60875370936559,3.0,1
65,7,2,arrival_departure,depart,107.60875370936559,,1
66,14,1,resource_use,treatment_begins,107.60875370936559,3.0,1
67,9,1,resource_use_end,treatment_complete,110.51521835406044,1.0,1
68,9,1,arrival_departure,depart,110.51521835406044,,1
69,20,1,resource_use,treatment_begins,110.51521835406044,1.0,1
70,22,2,arrival_departure,arrival,111.17765606341352,,1
71,22,2,queue,treatment_wait_begins,111.17765606341352,,1
72,23,2,arrival_departure,arrival,112.29553792447513,,1
73,23,2,queue,treatment_wait_begins,112.29553792447513,,1
74,8,2,resource_use_end,treatment_complete,116.33282776713702,2.0,1
75,8,2,arrival_departure,depart,116.33282776713702,,1
76,21,1,resource_use,treatment_begins,116.33282776713702,2.0,1
77,10,1,resource_use_end,treatment_complete,119.8566567640836,4.0,1
78,10,1,arrival_departure,depart,119.8566567640836,,1
79,11,2,resource_use,treatment_begins,119.8566567640836,4.0,1
80,24,2,arrival_departure,arrival,121.48538924519744,,1
81,24,2,queue,treatment_wait_begins,121.48538924519744,,1
82,25,2,arrival_departure,arrival,127.62081856126873,,1
83,25,2,queue,treatment_wait_begins,127.62081856126873,,1
84,26,2,arrival_departure,arrival,130.89979933108373,,1
85,26,2,queue,treatment_wait_begins,130.89979933108373,,1
86,27,1,arrival_departure,arrival,132.98523286264282,,1
87,27,1,queue,treatment_wait_begins,132.98523286264282,,1
88,28,2,arrival_departure,arrival,135.25183130913413,,1
89,28,2,queue,treatment_wait_begins,135.25183130913413,,1
90,29,2,arrival_departure,arrival,135.6372170444124,,1
91,29,2,queue,treatment_wait_begins,135.6372170444124,,1
92,30,2,arrival_departure,arrival,136.53537831628518,,1
93,30,2,queue,treatment_wait_begins,136.53537831628518,,1
94,31,2,arrival_departure,arrival,139.96198057430644,,1
95,31,2,queue,treatment_wait_begins,139.96198057430644,,1
96,32,2,arrival_departure,arrival,141.90538175510554,,1
97,32,2,queue,treatment_wait_begins,141.90538175510554,,1
98,33,2,arrival_departure,arrival,148.22641604293108,,1
99,33,2,queue,treatment_wait_begins,148.22641604293108,,1
100,34,2,arrival_departure,arrival,151.7688691800117,,1
101,34,2,queue,treatment_wait_begins,151.7688691800117,,1
102,14,1,resource_use_end,treatment_complete,151.89288091863907,3.0,1
103,14,1,arrival_departure,depart,151.89288091863907,,1
104,27,1,resource_use,treatment_begins,151.89288091863907,3.0,1
105,35,2,arrival_departure,arrival,152.9585189515018,,1
106,35,2,queue,treatment_wait_begins,152.9585189515018,,1
107,20,1,resource_use_end,treatment_complete,154.2426115557411,1.0,1
108,20,1,arrival_departure,depart,154.2426115557411,,1
109,12,2,resource_use,treatment_begins,154.2426115557411,1.0,1
110,36,1,arrival_departure,arrival,155.26396063278915,,1
111,36,1,queue,treatment_wait_begins,155.26396063278915,,1
112,21,1,resource_use_end,treatment_complete,156.3516230782147,2.0,1
113,21,1,arrival_departure,depart,156.3516230782147,,1
114,36,1,resource_use,treatment_begins,156.3516230782147,2.0,1
115,37,2,arrival_departure,arrival,158.4717443187417,,1
116,37,2,queue,treatment_wait_begins,158.4717443187417,,1
117,38,2,arrival_departure,arrival,160.19091112593068,,1
118,38,2,queue,treatment_wait_begins,160.19091112593068,,1
119,39,2,arrival_departure,arrival,161.80046723046223,,1
120,39,2,queue,treatment_wait_begins,161.80046723046223,,1
121,11,2,resource_use_end,treatment_complete,165.5287157863366,4.0,1
122,11,2,arrival_departure,depart,165.5287157863366,,1
123,13,2,resource_use,treatment_begins,165.5287157863366,4.0,1
124,40,1,arrival_departure,arrival,166.19504064142495,,1
125,40,1,queue,treatment_wait_begins,166.19504064142495,,1
126,41,2,arrival_departure,arrival,167.67977668606895,,1
127,41,2,queue,treatment_wait_begins,167.67977668606895,,1
128,42,2,arrival_departure,arrival,174.34828881122837,,1
129,42,2,queue,treatment_wait_begins,174.34828881122837,,1
130,43,1,arrival_departure,arrival,181.30260874245792,,1
131,43,1,queue,treatment_wait_begins,181.30260874245792,,1
132,44,2,arrival_departure,arrival,186.72302338228388,,1
133,44,2,queue,treatment_wait_begins,186.72302338228388,,1
134,45,2,arrival_departure,arrival,187.08816512218607,,1
135,45,2,queue,treatment_wait_begins,187.08816512218607,,1
136,12,2,resource_use_end,treatment_complete,189.9062580756693,1.0,1
137,12,2,arrival_departure,depart,189.9062580756693,,1
138,40,1,resource_use,treatment_begins,189.9062580756693,1.0,1
139,46,2,arrival_departure,arrival,192.75850263079985,,1
140,46,2,queue,treatment_wait_begins,192.75850263079985,,1
141,27,1,resource_use_end,treatment_complete,193.96308146336526,3.0,1
142,27,1,arrival_departure,depart,193.96308146336526,,1
143,43,1,resource_use,treatment_begins,193.96308146336526,3.0,1
144,36,1,resource_use_end,treatment_complete,197.907654145809,2.0,1
145,36,1,arrival_departure,depart,197.907654145809,,1
146,15,2,resource_use,treatment_begins,197.907654145809,2.0,1
147,47,2,arrival_departure,arrival,199.5301925701257,,1
148,47,2,queue,treatment_wait_begins,199.5301925701257,,1
