,patient,event_type,arrival,depart
0,1,arrival_departure,0.0,41.22601356669928
1,2,arrival_departure,12.021043019829973,46.891253581909204
2,3,arrival_departure,23.70199129895224,67.28077406655834
3,4,arrival_departure,35.625796298323515,80.24848909995538
4,5,arrival_departure,37.02476774758143,72.35665649200652
5,6,arrival_departure,37.456954746073315,80.6414226555737
6,7,arrival_departure,44.72025732460407,107.60875370936559
7,8,arrival_departure,51.770060795891936,116.33282776713702
8,9,arrival_departure,67.39154057863942,110.51521835406044
9,10,arrival_departure,67.78801156455697,119.8566567640836
10,11,arrival_departure,73.02081579727279,165.5287157863366
11,12,arrival_departure,73.37299733126183,189.9062580756693
12,13,arrival_departure,78.81811547138163,200.75284436160058
13,14,arrival_departure,87.47475223580068,151.89288091863907
14,15,arrival_departure,89.40922635875023,236.69558253423583
15,16,arrival_departure,95.5671546720581,237.21740575373775
16,17,arrival_departure,96.33602094118923,279.6254685109471
17,18,arrival_departure,96.7939072781402,273.1198644749171
18,19,arrival_departure,98.36980328880216,274.325287938145
19,20,arrival_departure,102.87579966565295,154.2426115557411
20,21,arrival_departure,104.9407263143454,156.3516230782147
21,22,arrival_departure,111.17765606341352,275.2058178030438
22,23,arrival_departure,112.29553792447513,316.9900519816555
23,24,arrival_departure,121.48538924519744,321.50391899214605
24,25,arrival_departure,127.62081856126873,367.35193108649406
25,26,arrival_departure,130.89979933108373,353.5967301978835
26,27,arrival_departure,132.98523286264282,193.96308146336526
27,28,arrival_departure,135.25183130913413,354.2286216557717
28,29,arrival_departure,135.6372170444124,357.37027837937836
29,30,arrival_departure,136.53537831628518,396.50222181208954
30,31,arrival_departure,139.96198057430644,432.27047862841533
31,32,arrival_departure,141.90538175510554,439.54250294568897
32,33,arrival_departure,148.22641604293108,443.4502736642007
33,34,arrival_departure,151.7688691800117,445.56898722159673
34,35,arrival_departure,152.9585189515018,480.39774410631543
35,36,arrival_departure,155.26396063278915,197.907654145809
36,37,arrival_departure,158.4717443187417,483.7222797172585
37,38,arrival_departure,160.19091112593068,486.35574841702277
38,39,arrival_departure,161.80046723046223,526.9146053453272
39,40,arrival_departure,166.19504064142495,234.18516005122223
40,41,arrival_departure,167.67977668606895,526.3822599668748
41,42,arrival_departure,174.34828881122837,554.1913498305421
42,43,arrival_departure,181.30260874245792,233.40821948692576
43,44,arrival_departure,186.72302338228388,565.0568801115129
44,45,arrival_departure,187.08816512218607,591.6245692350104
45,46,arrival_departure,192.75850263079985,596.1433898790066
46,47,arrival_departure,199.5301925701257,
47,48,arrival_departure,205.14039082741283,
48,49,arrival_departure,206.54063642859495,
49,50,arrival_departure,208.1453173837751,
50,51,arrival_departure,208.9739969202831,
51,52,arrival_departure,210.74581448374042,
52,53,arrival_departure,210.85151326578935,
53,54,arrival_departure,211.68829524636791,
54,55,arrival_departure,218.2635794691037,
55,56,arrival_departure,238.24236082502787,
56,57,arrival_departure,241.06005128697106,315.53088597047247
57,58,arrival_departure,242.4802497949752,
58,59,arrival_departure,244.4690310645114,
59,60,arrival_departure,246.27574217918595,
60,61,arrival_departure,246.92391019530396,315.86421229409024
61,62,arrival_departure,252.340535869662,
62,63,arrival_departure,259.21978013724924,
63,64,arrival_departure,266.7588257904633,
64,65,arrival_departure,293.3082397692622,
65,66,arrival_departure,303.841540943146,
66,67,arrival_departure,312.06587014562393,
67,68,arrival_departure,317.28332755550696,
68,69,arrival_departure,320.2459485503109,
69,70,arrival_departure,320.46821633167013,
70,71,arrival_departure,325.25123026577114,
71,72,arrival_departure,328.35814570323583,396.45191071385847
72,73,arrival_departure,335.8979525787838,399.91052623913504
73,74,arrival_departure,346.037960484565,
74,75,arrival_departure,347.69830455805135,
75,76,arrival_departure,347.94705816407,
76,77,arrival_departure,352.5711693396838,
77,78,arrival_departure,365.3382663386541,403.1006558643084
78,79,arrival_departure,369.44362432169635,
79,80,arrival_departure,380.09833875091823,
80,81,arrival_departure,383.8634124776174,
81,82,arrival_departure,390.4333827158369,
82,83,arrival_departure,391.8772976892559,
83,84,arrival_departure,392.54938394344936,
84,85,arrival_departure,393.26178810715084,
85,86,arrival_departure,393.85019969752625,
86,87,arrival_departure,394.1235652920939,
87,88,arrival_departure,402.7065312495663,
88,89,arrival_departure,404.9496062434009,
89,90,arrival_departure,406.8802625567264,
90,91,arrival_departure,411.5550592296831,
91,92,arrival_departure,412.491396507024,468.8051197255543
92,93,arrival_departure,422.0828587162822,
93,94,arrival_departure,428.54263891348444,
94,95,arrival_departure,430.18884989348794,
95,96,arrival_departure,431.1918089653501,
96,97,arrival_departure,433.84690701169285,
97,98,arrival_departure,435.3710613607267,
98,99,arrival_departure,435.7497548551885,
99,100,arrival_departure,438.26755384744905,
100,101,arrival_departure,449.52694667095466,513.0453259889181
101,102,arrival_departure,454.5711963577564,
102,103,arrival_departure,469.98325248581716,
103,104,arrival_departure,480.21541411148286,521.2094333460852
104,105,arrival_departure,485.8048746056908,
105,106,arrival_departure,495.05787658119004,
106,107,arrival_departure,498.6925299990245,
107,108,arrival_departure,504.0317762790293,
108,109,arrival_departure,505.93287070980404,
109,110,arrival_departure,507.0281413685315,
110,111,arrival_departure,517.7527282881473,
111,112,arrival_departure,518.4542430979986,
