,index,patient,pathway,event_type,event,time,resource_id,run,rank,snapshot_time,additional,x,y_final,label,resource,x_final,row
43,13,5,2,queue,treatment_wait_begins,37.02476774758143,,1,1.0,38,,205,275.0,Waiting for Treatment,,205.0,0.0
44,15,6,2,queue,treatment_wait_begins,37.456954746073315,,1,2.0,38,,205,275.0,Waiting for Treatment,,195.0,0.0
49,13,5,2,queue,treatment_wait_begins,37.02476774758143,,1,1.0,40,,205,275.0,Waiting for Treatment,,205.0,0.0
50,15,6,2,queue,treatment_wait_begins,37.456954746073315,,1,2.0,40,,205,275.0,Waiting for Treatment,,195.0,0.0
56,15,6,2,queue,treatment_wait_begins,37.456954746073315,,1,1.0,42,,205,275.0,Waiting for Treatment,,205.0,0.0
61,15,6,2,queue,treatment_wait_begins,37.456954746073315,,1,1.0,44,,205,275.0,Waiting for Treatment,,205.0,0.0
66,15,6,2,queue,treatment_wait_begins,37.456954746073315,,1,1.0,46,,205,275.0,Waiting for Treatment,,205.0,0.0
67,20,7,2,queue,treatment_wait_begins,44.72025732460407,,1,2.0,46,,205,275.0,Waiting for Treatment,,195.0,0.0
73,20,7,2,queue,treatment_wait_begins,44.72025732460407,,1,1.0,48,,205,275.0,Waiting for Treatment,,205.0,0.0
78,20,7,2,queue,treatment_wait_begins,44.72025732460407,,1,1.0,50,,205,275.0,Waiting for Treatment,,205.0,0.0
83,20,7,2,queue,treatment_wait_begins,44.72025732460407,,1,1.0,52,,205,275.0,Waiting for Treatment,,205.0,0.0
84,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,2.0,52,,205,275.0,Waiting for Treatment,,195.0,0.0
89,20,7,2,queue,treatment_wait_begins,44.72025732460407,,1,1.0,54,,205,275.0,Waiting for Treatment,,205.0,0.0
90,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,2.0,54,,205,275.0,Waiting for Treatment,,195.0,0.0
95,20,7,2,queue,treatment_wait_begins,44.72025732460407,,1,1.0,56,,205,275.0,Waiting for Treatment,,205.0,0.0
96,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,2.0,56,,205,275.0,Waiting for Treatment,,195.0,0.0
101,20,7,2,queue,treatment_wait_begins,44.72025732460407,,1,1.0,58,,205,275.0,Waiting for Treatment,,205.0,0.0
102,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,2.0,58,,205,275.0,Waiting for Treatment,,195.0,0.0
107,20,7,2,queue,treatment_wait_begins,44.72025732460407,,1,1.0,60,,205,275.0,Waiting for Treatment,,205.0,0.0
108,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,2.0,60,,205,275.0,Waiting for Treatment,,195.0,0.0
113,20,7,2,queue,treatment_wait_begins,44.72025732460407,,1,1.0,62,,205,275.0,Waiting for Treatment,,205.0,0.0
114,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,2.0,62,,205,275.0,Waiting for Treatment,,195.0,0.0
119,20,7,2,queue,treatment_wait_begins,44.72025732460407,,1,1.0,64,,205,275.0,Waiting for Treatment,,205.0,0.0
120,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,2.0,64,,205,275.0,Waiting for Treatment,,195.0,0.0
125,20,7,2,queue,treatment_wait_begins,44.72025732460407,,1,1.0,66,,205,275.0,Waiting for Treatment,,205.0,0.0
126,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,2.0,66,,205,275.0,Waiting for Treatment,,195.0,0.0
132,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,1.0,68,,205,275.0,Waiting for Treatment,,205.0,0.0
133,30,9,1,queue,treatment_wait_begins,67.39154057863942,,1,2.0,68,,205,275.0,Waiting for Treatment,,195.0,0.0
134,32,10,1,queue,treatment_wait_begins,67.78801156455697,,1,3.0,68,,205,275.0,Waiting for Treatment,,185.0,0.0
139,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,1.0,70,,205,275.0,Waiting for Treatment,,205.0,0.0
140,30,9,1,queue,treatment_wait_begins,67.39154057863942,,1,2.0,70,,205,275.0,Waiting for Treatment,,195.0,0.0
141,32,10,1,queue,treatment_wait_begins,67.78801156455697,,1,3.0,70,,205,275.0,Waiting for Treatment,,185.0,0.0
146,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,1.0,72,,205,275.0,Waiting for Treatment,,205.0,0.0
147,30,9,1,queue,treatment_wait_begins,67.39154057863942,,1,2.0,72,,205,275.0,Waiting for Treatment,,195.0,0.0
148,32,10,1,queue,treatment_wait_begins,67.78801156455697,,1,3.0,72,,205,275.0,Waiting for Treatment,,185.0,0.0
154,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,1.0,74,,205,275.0,Waiting for Treatment,,205.0,0.0
155,32,10,1,queue,treatment_wait_begins,67.78801156455697,,1,2.0,74,,205,275.0,Waiting for Treatment,,195.0,0.0
156,37,11,2,queue,treatment_wait_begins,73.02081579727279,,1,3.0,74,,205,275.0,Waiting for Treatment,,185.0,0.0
157,39,12,2,queue,treatment_wait_begins,73.37299733126183,,1,4.0,74,,205,275.0,Waiting for Treatment,,175.0,0.0
162,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,1.0,76,,205,275.0,Waiting for Treatment,,205.0,0.0
163,32,10,1,queue,treatment_wait_begins,67.78801156455697,,1,2.0,76,,205,275.0,Waiting for Treatment,,195.0,0.0
164,37,11,2,queue,treatment_wait_begins,73.02081579727279,,1,3.0,76,,205,275.0,Waiting for Treatment,,185.0,0.0
165,39,12,2,queue,treatment_wait_begins,73.37299733126183,,1,4.0,76,,205,275.0,Waiting for Treatment,,175.0,0.0
170,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,1.0,78,,205,275.0,Waiting for Treatment,,205.0,0.0
171,32,10,1,queue,treatment_wait_begins,67.78801156455697,,1,2.0,78,,205,275.0,Waiting for Treatment,,195.0,0.0
172,37,11,2,queue,treatment_wait_begins,73.02081579727279,,1,3.0,78,,205,275.0,Waiting for Treatment,,185.0,0.0
173,39,12,2,queue,treatment_wait_begins,73.37299733126183,,1,4.0,78,,205,275.0,Waiting for Treatment,,175.0,0.0
178,25,8,2,queue,treatment_wait_begins,51.770060795891936,,1,1.0,80,,205,275.0,Waiting for Treatment,,205.0,0.0
179,32,10,1,queue,treatment_wait_begins,67.78801156455697,,1,2.0,80,,205,275.0,Waiting for Treatment,,195.0,0.0
