,index,patient,pathway,event_type,event,time,resource_id,run,rank,snapshot_time,additional,x,y,label,resource,x_final,y_final
51,2,1,1,exit,depart,0.0,1.0,1,1.0,42,,270,70,Exit,,270,70
68,5,2,2,exit,depart,12.021043019829973,2.0,1,1.0,48,,270,70,Exit,,270,70
127,8,3,2,exit,depart,23.70199129895224,3.0,1,1.0,68,,270,70,Exit,,270,70
149,18,5,2,exit,depart,41.22601356669928,1.0,1,1.0,74,,270,70,Exit,,270,70
183,11,4,2,exit,depart,35.625796298323515,4.0,1,1.0,82,,270,70,Exit,,270,70
184,23,6,2,exit,depart,46.891253581909204,2.0,1,2.0,82,,270,70,Exit,,270,70
318,28,7,2,exit,depart,67.28077406655834,3.0,1,1.0,108,,270,70,Exit,,270,70
347,35,9,1,exit,depart,72.35665649200652,1.0,1,1.0,112,,270,70,Exit,,270,70
392,47,8,2,exit,depart,80.6414226555737,2.0,1,1.0,118,,270,70,Exit,,270,70
407,44,10,1,exit,depart,80.24848909995538,4.0,1,1.0,120,,270,70,Exit,,270,70
697,66,14,1,exit,depart,107.60875370936559,3.0,1,1.0,152,,270,70,Exit,,270,70
745,69,20,1,exit,depart,110.51521835406044,1.0,1,1.0,156,,270,70,Exit,,270,70
770,76,21,1,exit,depart,116.33282776713702,2.0,1,1.0,158,,270,70,Exit,,270,70
870,79,11,2,exit,depart,119.8566567640836,4.0,1,1.0,166,,270,70,Exit,,270,70
1206,109,12,2,exit,depart,154.2426115557411,1.0,1,1.0,190,,270,70,Exit,,270,70
1267,104,27,1,exit,depart,151.89288091863907,3.0,1,1.0,194,,270,70,Exit,,270,70
1328,114,36,1,exit,depart,156.3516230782147,2.0,1,1.0,198,,270,70,Exit,,270,70
1388,123,13,2,exit,depart,165.5287157863366,4.0,1,1.0,202,,270,70,Exit,,270,70
1944,143,43,1,exit,depart,193.96308146336526,3.0,1,1.0,234,,270,70,Exit,,270,70
1981,138,40,1,exit,depart,189.9062580756693,1.0,1,1.0,236,,270,70,Exit,,270,70
2017,146,15,2,exit,depart,197.907654145809,2.0,1,1.0,238,,270,70,Exit,,270,70
2018,151,16,2,exit,depart,200.75284436160058,4.0,1,2.0,238,,270,70,Exit,,270,70
2721,173,18,2,exit,depart,234.18516005122223,1.0,1,1.0,274,,270,70,Exit,,270,70
2763,176,19,2,exit,depart,236.69558253423583,2.0,1,1.0,276,,270,70,Exit,,270,70
2764,179,22,2,exit,depart,237.21740575373775,4.0,1,2.0,276,,270,70,Exit,,270,70
2843,170,17,2,exit,depart,233.40821948692576,3.0,1,1.0,280,,270,70,Exit,,270,70
3546,200,57,1,exit,depart,273.1198644749171,1.0,1,1.0,316,,270,70,Exit,,270,70
3547,203,61,1,exit,depart,274.325287938145,2.0,1,2.0,316,,270,70,Exit,,270,70
3587,206,23,2,exit,depart,275.2058178030438,4.0,1,1.0,318,,270,70,Exit,,270,70
3666,209,24,2,exit,depart,279.6254685109471,3.0,1,1.0,322,,270,70,Exit,,270,70
4351,221,26,2,exit,depart,315.86421229409024,2.0,1,1.0,354,,270,70,Exit,,270,70
4398,224,28,2,exit,depart,316.9900519816555,4.0,1,1.0,356,,270,70,Exit,,270,70
4444,233,29,2,exit,depart,321.50391899214605,3.0,1,1.0,358,,270,70,Exit,,270,70
4666,218,25,2,exit,depart,315.53088597047247,1.0,1,1.0,368,,270,70,Exit,,270,70
5365,250,72,1,exit,depart,353.5967301978835,2.0,1,2.0,398,,270,70,Exit,,270,70
5364,256,30,2,exit,depart,357.37027837937836,3.0,1,1.0,398,,270,70,Exit,,270,70
5416,253,73,1,exit,depart,354.2286216557717,4.0,1,1.0,400,,270,70,Exit,,270,70
5517,261,78,1,exit,depart,367.35193108649406,1.0,1,1.0,404,,270,70,Exit,,270,70
6268,282,31,2,exit,depart,396.45191071385847,2.0,1,1.0,434,,270,70,Exit,,270,70
6419,285,32,2,exit,depart,396.50222181208954,3.0,1,1.0,440,,270,70,Exit,,270,70
6520,288,33,2,exit,depart,399.91052623913504,4.0,1,1.0,444,,270,70,Exit,,270,70
6571,293,34,2,exit,depart,403.1006558643084,1.0,1,1.0,446,,270,70,Exit,,270,70
7172,312,92,1,exit,depart,432.27047862841533,2.0,1,1.0,470,,270,70,Exit,,270,70
7473,323,35,2,exit,depart,439.54250294568897,3.0,1,1.0,482,,270,70,Exit,,270,70
7524,326,37,2,exit,depart,443.4502736642007,4.0,1,1.0,484,,270,70,Exit,,270,70
7625,329,38,2,exit,depart,445.56898722159673,1.0,1,1.0,488,,270,70,Exit,,270,70
8276,336,101,1,exit,depart,468.8051197255543,2.0,1,1.0,514,,270,70,Exit,,270,70
8477,343,104,1,exit,depart,480.39774410631543,3.0,1,1.0,522,,270,70,Exit,,270,70
8628,346,39,2,exit,depart,483.7222797172585,4.0,1,1.0,528,,270,70,Exit,,270,70
8629,351,41,2,exit,depart,486.35574841702277,1.0,1,2.0,528,,270,70,Exit,,270,70
9330,364,42,2,exit,depart,513.0453259889181,2.0,1,1.0,556,,270,70,Exit,,270,70
9431,380,115,1,exit,depart,526.3822599668748,1.0,1,1.0,560,,270,70,Exit,,270,70
9583,375,113,1,exit,depart,521.2094333460852,3.0,1,2.0,566,,270,70,Exit,,270,70
9582,383,44,2,exit,depart,526.9146053453272,4.0,1,1.0,566,,270,70,Exit,,270,70
10234,394,45,2,exit,depart,554.1913498305421,2.0,1,1.0,592,,270,70,Exit,,270,70
10385,401,46,2,exit,depart,559.4873956191101,1.0,1,1.0,598,,270,70,Exit,,270,70
