,patient
0,1
8,2
19,3
38,4
43,5
44,6
67,7
84,8
133,9
134,10
156,11
157,12
182,13
213,14
222,15
250,16
261,17
262,18
275,19
302,20
317,21
361,22
376,23
434,24
477,25
508,26
525,27
543,28
544,29
564,30
585,31
607,32
696,33
720,34
744,35
769,36
817,37
842,38
843,39
921,40
922,41
1031,42
1116,43
1204,44
1205,45
1297,46
1387,47
1476,48
1507,49
1539,50
1540,51
1574,52
1575,53
1576,54
1721,55
2085,56
2120,57
2156,58
2193,59
2231,60
2232,61
2350,62
2471,63
2636,64
3148,65
3344,66
3545,67
3626,68
3705,69
3706,70
3787,71
3870,72
3997,73
4256,74
4257,75
4258,76
4397,77
4665,78
4755,79
5026,80
5073,81
5262,82
5263,83
5313,84
5414,85
5415,86
5466,87
5567,88
6469,89
6570,90
6621,91
6272,92
7574,93
7675,94
8326,95
8679,96
9380,97
9481,98
9632,99
9633,100
7176,101
7477,104
8481,113
8632,115
10238,124
10389,125
