entity_id,pathway,event_type,event,time,resource_id,run,activity_id,lifecycle_id
1,Simplest,queue,treatment_wait_begins,0.0,,0,1,start
1,Simplest,queue,treatment_wait_begins,0.0,,0,1,complete
1,Simplest,resource_use,treatment_begins,0.0,1.0,0,2,start
1,Simplest,resource_use,treatment_begins,3.399659519844548,1.0,0,2,complete
2,Simplest,queue,treatment_wait_begins,3.399659519844548,,0,3,start
2,Simplest,queue,treatment_wait_begins,3.399659519844548,,0,3,complete
2,Simplest,resource_use,treatment_begins,3.399659519844548,2.0,0,4,start
2,Simplest,resource_use,treatment_begins,8.49764502717387,2.0,0,4,complete
3,Simplest,queue,treatment_wait_begins,8.49764502717387,,0,5,start
3,Simplest,queue,treatment_wait_begins,8.49764502717387,,0,5,complete
3,Simplest,resource_use,treatment_begins,8.49764502717387,3.0,0,6,start
3,Simplest,resource_use,treatment_begins,8.596678340119148,3.0,0,6,complete
4,Simplest,queue,treatment_wait_begins,8.596678340119148,,0,7,start
4,Simplest,queue,treatment_wait_begins,8.596678340119148,,0,7,complete
4,Simplest,resource_use,treatment_begins,8.596678340119148,4.0,0,8,start
4,Simplest,resource_use,treatment_begins,8.60802497352529,4.0,0,8,complete
5,Simplest,queue,treatment_wait_begins,8.60802497352529,,0,9,start
5,Simplest,queue,treatment_wait_begins,11.35973933672053,,0,9,complete
6,Simplest,queue,treatment_wait_begins,11.35973933672053,,0,10,start
6,Simplest,queue,treatment_wait_begins,19.509441510012454,,0,10,complete
7,Simplest,queue,treatment_wait_begins,19.509441510012454,,0,11,start
7,Simplest,queue,treatment_wait_begins,22.877356273348617,,0,11,complete
8,Simplest,queue,treatment_wait_begins,22.877356273348617,,0,12,start
8,Simplest,queue,treatment_wait_begins,26.653863062475573,,0,12,complete
9,Simplest,queue,treatment_wait_begins,26.653863062475573,,0,13,start
9,Simplest,queue,treatment_wait_begins,40.31738481671083,,0,13,complete
5,Simplest,resource_use,treatment_begins,40.31738481671083,1.0,0,14,start
5,Simplest,resource_use,treatment_begins,40.7377929578542,1.0,0,14,complete
10,Simplest,queue,treatment_wait_begins,40.7377929578542,,0,15,start
10,Simplest,queue,treatment_wait_begins,42.443230104185886,,0,15,complete
6,Simplest,resource_use,treatment_begins,42.443230104185886,2.0,0,16,start
6,Simplest,resource_use,treatment_begins,48.80962836744193,2.0,0,16,complete
7,Simplest,resource_use,treatment_begins,48.80962836744193,4.0,0,17,start
7,Simplest,resource_use,treatment_begins,51.48345690297755,4.0,0,17,complete
8,Simplest,resource_use,treatment_begins,51.48345690297755,3.0,0,18,start
8,Simplest,resource_use,treatment_begins,71.02655836006706,3.0,0,18,complete
11,Simplest,queue,treatment_wait_begins,71.02655836006706,,0,19,start
11,Simplest,queue,treatment_wait_begins,77.447488321728,,0,19,complete
9,Simplest,resource_use,treatment_begins,77.447488321728,1.0,0,20,start
9,Simplest,resource_use,treatment_begins,83.96225118024186,1.0,0,20,complete
10,Simplest,resource_use,treatment_begins,83.96225118024186,2.0,0,21,start
10,Simplest,resource_use,treatment_begins,87.45869964953577,2.0,0,21,complete
12,Simplest,queue,treatment_wait_begins,87.45869964953577,,0,22,start
12,Simplest,queue,treatment_wait_begins,87.46513840120988,,0,22,complete
13,Simplest,queue,treatment_wait_begins,87.46513840120988,,0,23,start
13,Simplest,queue,treatment_wait_begins,95.4980396088096,,0,23,complete
11,Simplest,resource_use,treatment_begins,95.4980396088096,4.0,0,24,start
11,Simplest,resource_use,treatment_begins,96.14237016677858,4.0,0,24,complete
12,Simplest,resource_use,treatment_begins,96.14237016677858,3.0,0,25,start
12,Simplest,resource_use,treatment_begins,98.81061172254442,3.0,0,25,complete
14,Simplest,queue,treatment_wait_begins,98.81061172254442,,0,26,start
14,Simplest,queue,treatment_wait_begins,99.17310014714388,,0,26,complete
15,Simplest,queue,treatment_wait_begins,99.17310014714388,,0,27,start
15,Simplest,queue,treatment_wait_begins,104.52010165798048,,0,27,complete
16,Simplest,queue,treatment_wait_begins,104.52010165798048,,0,28,start
16,Simplest,queue,treatment_wait_begins,108.76476680570316,,0,28,complete
17,Simplest,queue,treatment_wait_begins,108.76476680570316,,0,29,start
17,Simplest,queue,treatment_wait_begins,113.8086493065641,,0,29,complete
13,Simplest,resource_use,treatment_begins,113.8086493065641,1.0,0,30,start
13,Simplest,resource_use,treatment_begins,117.86724735929386,1.0,0,30,complete
14,Simplest,resource_use,treatment_begins,117.86724735929386,2.0,0,31,start
14,Simplest,resource_use,treatment_begins,124.51431006939562,2.0,0,31,complete
18,Simplest,queue,treatment_wait_begins,124.51431006939562,,0,32,start
18,Simplest,queue,treatment_wait_begins,126.28436028036188,,0,32,complete
19,Simplest,queue,treatment_wait_begins,126.28436028036188,,0,33,start
19,Simplest,queue,treatment_wait_begins,127.8199159785036,,0,33,complete
20,Simplest,queue,treatment_wait_begins,127.8199159785036,,0,34,start
20,Simplest,queue,treatment_wait_begins,132.22532086192032,,0,34,complete
15,Simplest,resource_use,treatment_begins,132.22532086192032,4.0,0,35,start
15,Simplest,resource_use,treatment_begins,135.28101304413372,4.0,0,35,complete
21,Simplest,queue,treatment_wait_begins,135.28101304413372,,0,36,start
21,Simplest,queue,treatment_wait_begins,135.46603403806216,,0,36,complete
22,Simplest,queue,treatment_wait_begins,135.46603403806216,,0,37,start
22,Simplest,queue,treatment_wait_begins,136.0382516889027,,0,37,complete
